"Date (TU),""Valeur (en m³/s)"",""Statut"",""Qualification"",""Méthode"",""Continuité"""
"2013-11-26T00:00:00.000Z,""1310"",""4"",16,8,1"
"2013-11-27T00:00:00.000Z,""1240"",""4"",16,8,0"
"2013-11-28T00:00:00.000Z,""1190"",""4"",16,8,0"
"2013-11-29T00:00:00.000Z,""1120"",""4"",16,8,0"
"2013-11-30T00:00:00.000Z,""1100"",""4"",16,8,0"
"2013-12-01T00:00:00.000Z,""1080"",""4"",16,8,0"
"2013-12-02T00:00:00.000Z,""1030"",""4"",16,8,0"
"2013-12-03T00:00:00.000Z,""1050"",""4"",16,8,0"
"2013-12-04T00:00:00.000Z,""1030"",""4"",16,8,0"
"2013-12-05T00:00:00.000Z,""1000"",""4"",16,8,0"
"2013-12-06T00:00:00.000Z,""1000"",""4"",16,8,0"
"2013-12-07T00:00:00.000Z,""1010"",""4"",16,8,0"
"2013-12-08T00:00:00.000Z,""944"",""4"",16,8,0"
"2013-12-09T00:00:00.000Z,""953"",""4"",16,8,0"
"2013-12-10T00:00:00.000Z,""888"",""4"",16,8,0"
"2013-12-11T00:00:00.000Z,""894"",""4"",16,8,0"
"2013-12-12T00:00:00.000Z,""906"",""4"",16,8,0"
"2013-12-13T00:00:00.000Z,""871"",""4"",16,8,0"
"2013-12-14T00:00:00.000Z,""853"",""4"",16,8,0"
"2013-12-15T00:00:00.000Z,""886"",""4"",16,8,0"
"2013-12-16T00:00:00.000Z,""853"",""4"",16,8,0"
"2013-12-17T00:00:00.000Z,""813"",""4"",16,8,0"
"2013-12-18T00:00:00.000Z,""811"",""4"",16,8,0"
"2013-12-19T00:00:00.000Z,""817"",""4"",16,8,0"
"2013-12-20T00:00:00.000Z,""936"",""4"",16,8,0"
"2013-12-21T00:00:00.000Z,""956"",""4"",16,8,0"
"2013-12-22T00:00:00.000Z,""876"",""4"",16,8,0"
"2013-12-23T00:00:00.000Z,""870"",""4"",16,8,0"
"2013-12-24T00:00:00.000Z,""890"",""4"",16,8,0"
"2013-12-25T00:00:00.000Z,""935"",""4"",16,8,0"
"2013-12-26T00:00:00.000Z,""1490"",""4"",16,8,0"
"2013-12-27T00:00:00.000Z,""1690"",""4"",16,8,0"
"2013-12-28T00:00:00.000Z,""1430"",""4"",16,8,0"
"2013-12-29T00:00:00.000Z,""1550"",""4"",16,8,0"
"2013-12-30T00:00:00.000Z,""1470"",""4"",16,8,0"
"2013-12-31T00:00:00.000Z,""1370"",""4"",16,8,0"
"2014-01-01T00:00:00.000Z,""1270"",""4"",16,8,0"
"2014-01-02T00:00:00.000Z,""1200"",""4"",16,8,0"
"2014-01-03T00:00:00.000Z,""1250"",""4"",16,8,0"
"2014-01-04T00:00:00.000Z,""1230"",""4"",16,8,0"
"2014-01-05T00:00:00.000Z,""1440"",""4"",16,8,0"
"2014-01-06T00:00:00.000Z,""1410"",""4"",16,8,0"
"2014-01-07T00:00:00.000Z,""1340"",""4"",16,8,0"
"2014-01-08T00:00:00.000Z,""1250"",""4"",16,8,0"
"2014-01-09T00:00:00.000Z,""1190"",""4"",16,8,0"
"2014-01-10T00:00:00.000Z,""1190"",""4"",16,8,0"
"2014-01-11T00:00:00.000Z,""1200"",""4"",16,8,0"
"2014-01-12T00:00:00.000Z,""1140"",""4"",16,8,0"
"2014-01-13T00:00:00.000Z,""1080"",""4"",16,8,0"
"2014-01-14T00:00:00.000Z,""1100"",""4"",16,8,0"
"2014-01-15T00:00:00.000Z,""1150"",""4"",16,8,0"
"2014-01-16T00:00:00.000Z,""1090"",""4"",16,8,0"
"2014-01-17T00:00:00.000Z,""1220"",""4"",16,8,0"
"2014-01-18T00:00:00.000Z,""1160"",""4"",16,8,0"
"2014-01-19T00:00:00.000Z,""1100"",""4"",16,8,0"
"2014-01-20T00:00:00.000Z,""1100"",""4"",16,8,0"
"2014-01-21T00:00:00.000Z,""1100"",""4"",16,8,0"
"2014-01-22T00:00:00.000Z,""1050"",""4"",16,8,0"
"2014-01-23T00:00:00.000Z,""1030"",""4"",16,8,0"
"2014-01-24T00:00:00.000Z,""1060"",""4"",16,8,0"
"2014-01-25T00:00:00.000Z,""1020"",""4"",16,8,0"
"2014-01-26T00:00:00.000Z,""946"",""4"",16,8,0"
"2014-01-27T00:00:00.000Z,""999"",""4"",16,8,0"
"2014-01-28T00:00:00.000Z,""1060"",""4"",16,8,0"
"2014-01-29T00:00:00.000Z,""983"",""4"",16,8,0"
"2014-01-30T00:00:00.000Z,""966"",""4"",16,8,0"
"2014-01-31T00:00:00.000Z,""953"",""4"",16,8,0"
"2014-02-01T00:00:00.000Z,""866"",""4"",16,8,0"
"2014-02-02T00:00:00.000Z,""870"",""4"",16,8,0"
"2014-02-03T00:00:00.000Z,""939"",""4"",16,8,0"
"2014-02-04T00:00:00.000Z,""923"",""4"",16,8,0"
"2014-02-05T00:00:00.000Z,""872"",""4"",16,8,0"
"2014-02-06T00:00:00.000Z,""857"",""4"",16,8,0"
"2014-02-07T00:00:00.000Z,""865"",""4"",16,8,0"
"2014-02-08T00:00:00.000Z,""954"",""4"",16,8,0"
"2014-02-09T00:00:00.000Z,""951"",""4"",16,8,0"
"2014-02-10T00:00:00.000Z,""1030"",""4"",16,8,0"
"2014-02-11T00:00:00.000Z,""1020"",""4"",16,8,0"
"2014-02-12T00:00:00.000Z,""1020"",""4"",16,8,0"
