Year;Population Zambia;Population Zimbabwe;Annual Power demand Zambia [MW];Annual Power demand Zimbabwe [MW];Needed inflow for power generation  [m^3/s];Required inflow at Katima Mulilo [m^3/s];;;;;;;;;Demand per capita [W];
1986;6890967;8983044;244.6293285;409.6268064;670.616;789.937;;;;;;;;;Zambia:;35.5
1987;7095185;9277488;251.8790675;423.0534528;691.810;806.680;;;;;;;;;Zimbabwe:;45.6
1988;7294325;9568739;258.9485375;436.3344984;712.669;823.158;;;;;;;;;;
1989;7491275;9846346;265.9402625;448.9933776;732.811;839.071;;;;;;;;;Parameters;
1990;7686401;10113893;272.8672355;461.1935208;752.416;854.559;;;;;;;;;Eta;0.9
1991;7880466;10377815;279.756543;473.228364;771.814;869.883;;;;;;;;;density;1000
1992;8074337;10641501;286.6389635;485.2524456;791.193;885.192;;;;;;;;;gravitational acceleration;9.81
1993;8270917;10794918;293.6175535;492.2482608;805.517;896.508;;;;;;;;;delta height;110.5
1994;8474216;10858594;300.834668;495.1518864;815.891;904.704;;;;;;;;;;
1995;8684135;10994041;308.2867925;501.3282696;829.860;915.739;;;;;;;;;;
1996;8902019;11178171;316.0216745;509.7245976;846.394;928.802;;;;;;;;;;
1997;9133156;11362401;324.227038;518.1254856;863.416;942.249;;;;;;;;;;
1998;9372430;11548364;332.721265;526.6053984;880.815;955.994;;;;;;;;;;
1999;9621238;11716454;341.553949;534.2703024;897.725;969.353;;;;;;;;;;
2000;9891136;11834676;351.135328;539.6612256;913.071;981.476;;;;;;;;;;
2001;10191964;11910978;361.814722;543.1405968;927.584;992.942;;;;;;;;;;
2002;10508294;11984644;373.044437;546.4997664;942.538;1004.755;;;;;;;;;;
2003;10837973;12075828;384.7480415;550.6577568;958.796;1017.599;;;;;;;;;;
2004;11188040;12160881;397.17542;554.5361736;975.510;1030.803;;;;;;;;;;
2005;11564870;12224753;410.552885;557.4487368;992.207;1043.994;;;;;;;;;;
2006;11971567;12330490;424.9906285;562.270344;1011.948;1059.589;;;;;;;;;;
2007;12402073;12450568;440.2735915;567.7459008;1033.226;1076.398;;;;;;;;;;
2008;12852966;12550347;456.280293;572.2958232;1054.296;1093.044;;;;;;;;;;
2009;13318087;12679810;472.7920885;578.199336;1077.272;1111.195;;;;;;;;;;
2010;13792086;12839771;489.619053;585.4935576;1101.996;1130.727;;;;;;;;;;
2011;14265814;13025785;506.436397;593.975796;1127.929;1151.214;;;;;;;;;;
2012;14744658;13265331;523.435359;604.8990936;1156.549;1173.824;;;;;;;;;;
2013;15234976;13555422;540.841648;618.1272432;1187.950;1198.630;;;;;;;;;;
2014;15737793;13855753;558.6916515;631.8223368;1220.283;1224.174;;;;;;;;;;
2015;16248230;14154937;576.812165;645.4651272;1252.841;1249.894;;;;;;;;;;
2016;16767761;14452704;595.2555155;659.0433024;1285.663;1275.824;;;;;;;;;;
2017;17298054;14751101;614.080917;672.6502056;1318.907;1302.086;;;;;;;;;;
