Date;Level [m] a.s.l;Change in height [m];Delta V [m^3];hydro_year;start_volume
1-10-2000;486,04;;;2001;1,71E+11
2-10-2000;486,03;-0,01;-55000000;2002;1,71E+11
3-10-2000;485,99;-0,04;-220000000;2003;1,61E+11
4-10-2000;485,99;0;0;2004;3,23E+12
5-10-2000;485,97;-0,02;-110000000;2005;1,65E+11
6-10-2000;485,96;-0,01;-55000000;2006;1,43E+11
7-10-2000;485,94;-0,02;-110000000;2007;1,40E+11
8-10-2000;485,92;-0,02;-110000000;2008;1,43E+11
9-10-2000;485,91;-0,01;-55000000;2009;1,58E+11
10-10-2000;485,9;-0,01;-55000000;2010;1,68E+11
11-10-2000;485,89;-0,01;-55000000;2011;1,70E+11
12-10-2000;485,87;-0,02;-110000000;2012;1,71E+11
13-10-2000;485,86;-0,01;-55000000;2013;1,67E+11
14-10-2000;485,85;-0,01;-55000000;;
15-10-2000;485,83;-0,02;-110000000;;
16-10-2000;485,82;-0,01;-55000000;;
17-10-2000;485,81;-0,01;-55000000;;
18-10-2000;485,8;-0,01;-55000000;;
19-10-2000;485,87;0,07;385000000;;
20-10-2000;485,75;-0,12;-660000000;;
21-10-2000;485,73;-0,02;-110000000;;
22-10-2000;485,71;-0,02;-110000000;;
23-10-2000;485,7;-0,01;-55000000;;
24-10-2000;485,68;-0,02;-110000000;;
25-10-2000;485,68;0;0;;
26-10-2000;485,67;-0,01;-55000000;;
27-10-2000;485,66;-0,01;-55000000;;
28-10-2000;485,64;-0,02;-110000000;;
29-10-2000;485,63;-0,01;-55000000;;
30-10-2000;485,61;-0,02;-110000000;;
31-10-2000;485,59;-0,02;-110000000;;
1-11-2000;485,56;-0,03;-165000000;;
2-11-2000;485,56;0;0;;
3-11-2000;485,56;0;0;;
4-11-2000;485,55;-0,01;-55000000;;
5-11-2000;485,54;-0,01;-55000000;;
6-11-2000;485,53;-0,01;-55000000;;
7-11-2000;485,51;-0,02;-110000000;;
8-11-2000;485,47;-0,04;-220000000;;
9-11-2000;485,46;-0,01;-55000000;;
10-11-2000;485,45;-0,01;-55000000;;
11-11-2000;485,44;-0,01;-55000000;;
12-11-2000;485,43;-0,01;-55000000;;
13-11-2000;485,42;-0,01;-55000000;;
14-11-2000;485,41;-0,01;-55000000;;
15-11-2000;485,4;-0,01;-55000000;;
16-11-2000;485,39;-0,01;-55000000;;
17-11-2000;485,37;-0,02;-110000000;;
18-11-2000;485,36;-0,01;-55000000;;
